Archive_Date,Specialty_HIPE,Speciality,Adult_Child,Age_Profile,Time_Bands,Total
31-01-2019,300,Dermatology,Child,16-64, 9-12 Months,4
31-01-2019,402,Diabetes Mellitus,Child,0-15, 0-3 Months,6
31-01-2019,600,Otolaryngology (ENT),Child,0-15, 0-3 Months,826
31-01-2019,600,Otolaryngology (ENT),Child,0-15, 3-6 Months,542
31-01-2019,600,Otolaryngology (ENT),Child,0-15, 6-9 Months,554
31-01-2019,600,Otolaryngology (ENT),Child,0-15,12-15 Months,318
31-01-2019,600,Otolaryngology (ENT),Child,0-15,15-18 Months,291
31-01-2019,600,Otolaryngology (ENT),Child,0-15,18 Months +,1786
31-01-2019,600,Otolaryngology (ENT),Child,16-64, 3-6 Months,5
31-01-2019,600,Otolaryngology (ENT),Child,16-64,12-15 Months,15
31-01-2019,600,Otolaryngology (ENT),Child,16-64,15-18 Months,14
31-01-2019,601,Paediatric ENT,Child,0-15,18 Months +,995
31-01-2019,601,Paediatric ENT,Child,16-64, 0-3 Months,1
31-01-2019,601,Paediatric ENT,Child,16-64,18 Months +,59
31-01-2019,1300,Neurology,Child,0-15, 9-12 Months,58
31-01-2019,1300,Neurology,Child,16-64,18 Months +,5
31-01-2019,1302,Paediatric Neurology,Child,0-15, 9-12 Months,15
31-01-2019,1400,Neurosurgery,Child,0-15, 9-12 Months,2
31-01-2019,1503,Gynaecology,Child,0-15, 0-3 Months,53
31-01-2019,1503,Gynaecology,Child,0-15, 6-9 Months,6
31-01-2019,1503,Gynaecology,Child,16-64, 3-6 Months,3
31-01-2019,1503,Gynaecology,Child,16-64,12-15 Months,1
31-01-2019,1700,Ophthalmology,Child,0-15, 0-3 Months,725
31-01-2019,1700,Ophthalmology,Child,0-15,15-18 Months,287
31-01-2019,1700,Ophthalmology,Child,16-64, 3-6 Months,8
31-01-2019,1700,Ophthalmology,Child,16-64, 6-9 Months,9
31-01-2019,1700,Ophthalmology,Child,16-64,12-15 Months,6
31-01-2019,1700,Ophthalmology,Child,16-64,15-18 Months,5
31-01-2019,1800,Orthopaedics,Child,0-15, 0-3 Months,814
31-01-2019,1800,Orthopaedics,Child,16-64, 0-3 Months,15
31-01-2019,1800,Orthopaedics,Child,16-64, 3-6 Months,23
31-01-2019,1800,Orthopaedics,Child,16-64, 6-9 Months,22
31-01-2019,1800,Orthopaedics,Child,16-64,12-15 Months,21
31-01-2019,1800,Orthopaedics,Child,16-64,15-18 Months,32
31-01-2019,1800,Orthopaedics,Child,16-64,18 Months +,49
31-01-2019,1900,Paediatrics,Child,0-15, 9-12 Months,632
31-01-2019,1900,Paediatrics,Child,16-64, 9-12 Months,10
31-01-2019,1902,Paed Cardiology,Child,0-15, 3-6 Months,515
31-01-2019,1902,Paed Cardiology,Child,0-15,12-15 Months,341
31-01-2019,1902,Paed Cardiology,Child,16-64, 9-12 Months,27
31-01-2019,1904,Neonatology,Child,0-15,18 Months +,3
31-01-2019,1905,Paed Endocrinology,Child,0-15, 3-6 Months,125
31-01-2019,1905,Paed Endocrinology,Child,0-15,12-15 Months,9
31-01-2019,1905,Paed Endocrinology,Child,16-64, 9-12 Months,1
31-01-2019,1906,Paed Gastro-Enterol,Child,16-64, 9-12 Months,5
31-01-2019,1907,Paed Haematology,Child,0-15, 3-6 Months,57
31-01-2019,1907,Paed Haematology,Child,0-15, 6-9 Months,4
31-01-2019,1911,Paed Nephrology,Child,0-15, 3-6 Months,66
31-01-2019,1911,Paed Nephrology,Child,0-15, 6-9 Months,20
31-01-2019,1911,Paed Nephrology,Child,0-15,12-15 Months,3
31-01-2019,1911,Paed Nephrology,Child,16-64, 9-12 Months,1
31-01-2019,1912,Paediatric Respiratory Medicine,Child,16-64, 0-3 Months,1
31-01-2019,0,Small Volume Specialities,Child,0-15,18 Months +,1
31-01-2019,300,Dermatology,Child,0-15, 0-3 Months,635
31-01-2019,300,Dermatology,Child,0-15, 3-6 Months,246
31-01-2019,300,Dermatology,Child,0-15, 6-9 Months,165
31-01-2019,300,Dermatology,Child,0-15, 9-12 Months,48
31-01-2019,300,Dermatology,Child,0-15,12-15 Months,56
31-01-2019,300,Dermatology,Child,16-64, 3-6 Months,9
31-01-2019,300,Dermatology,Child,16-64, 6-9 Months,2
31-01-2019,300,Dermatology,Child,16-64,12-15 Months,4
31-01-2019,601,Paediatric ENT,Child,0-15, 0-3 Months,322
31-01-2019,601,Paediatric ENT,Child,0-15, 9-12 Months,382
31-01-2019,601,Paediatric ENT,Child,16-64, 3-6 Months,4
