Archive_Date,Specialty_HIPE,Speciality,Adult_Child,Age_Profile,Time_Bands,Total
31-01-2018,100,Cardiology,Child, 0-15, 0-3 Months,167
31-01-2018,100,Cardiology,Child, 0-15, 3-6 Months,157
31-01-2018,100,Cardiology,Child, 0-15, 6-9 Months,106
31-01-2018,100,Cardiology,Child, 0-15, 9-12 Months,85
31-01-2018,100,Cardiology,Child, 0-15,12-15 Months,83
31-01-2018,100,Cardiology,Child, 0-15,15-18 Months,64
31-01-2018,100,Cardiology,Child, 0-15,18+ Months,445
31-01-2018,100,Cardiology,Child,16-64, 0-3 Months,2
31-01-2018,100,Cardiology,Child,16-64, 3-6 Months,2
31-01-2018,100,Cardiology,Child,16-64, 6-9 Months,1
31-01-2018,100,Cardiology,Child,16-64, 9-12 Months,4
31-01-2018,100,Cardiology,Child,16-64,12-15 Months,6
31-01-2018,100,Cardiology,Child,16-64,15-18 Months,9
31-01-2018,100,Cardiology,Child,16-64,18+ Months,25
31-01-2018,300,Dermatology,Child, 0-15, 0-3 Months,176
31-01-2018,300,Dermatology,Child, 0-15, 3-6 Months,139
31-01-2018,300,Dermatology,Child, 0-15, 6-9 Months,168
31-01-2018,300,Dermatology,Child, 0-15, 9-12 Months,132
31-01-2018,300,Dermatology,Child, 0-15,12-15 Months,83
31-01-2018,300,Dermatology,Child, 0-15,15-18 Months,79
31-01-2018,300,Dermatology,Child, 0-15,18+ Months,133
31-01-2018,300,Dermatology,Child,16-64, 0-3 Months,4
31-01-2018,300,Dermatology,Child,16-64, 6-9 Months,5
31-01-2018,300,Dermatology,Child,16-64, 9-12 Months,1
31-01-2018,300,Dermatology,Child,16-64,12-15 Months,6
31-01-2018,300,Dermatology,Child,16-64,15-18 Months,6
31-01-2018,300,Dermatology,Child,16-64,18+ Months,9
31-01-2018,400,Endocrinology,Child, 0-15, 0-3 Months,36
31-01-2018,400,Endocrinology,Child, 0-15, 3-6 Months,39
31-01-2018,400,Endocrinology,Child, 0-15, 6-9 Months,34
31-01-2018,400,Endocrinology,Child, 0-15, 9-12 Months,5
31-01-2018,400,Endocrinology,Child, 0-15,12-15 Months,4
31-01-2018,400,Endocrinology,Child, 0-15,18+ Months,2
31-01-2018,400,Endocrinology,Child,16-64, 6-9 Months,5
31-01-2018,400,Endocrinology,Child,16-64, 9-12 Months,1
31-01-2018,402,Diabetes Mellitus,Child, 0-15, 0-3 Months,3
31-01-2018,600,Otolaryngology (ENT),Child, 0-15, 0-3 Months,467
31-01-2018,600,Otolaryngology (ENT),Child, 0-15, 3-6 Months,365
31-01-2018,600,Otolaryngology (ENT),Child, 0-15, 6-9 Months,443
31-01-2018,600,Otolaryngology (ENT),Child, 0-15, 9-12 Months,486
31-01-2018,600,Otolaryngology (ENT),Child, 0-15,12-15 Months,364
31-01-2018,600,Otolaryngology (ENT),Child, 0-15,15-18 Months,384
31-01-2018,600,Otolaryngology (ENT),Child, 0-15,18+ Months,1480
31-01-2018,600,Otolaryngology (ENT),Child,16-64, 0-3 Months,7
31-01-2018,600,Otolaryngology (ENT),Child,16-64, 3-6 Months,2
31-01-2018,600,Otolaryngology (ENT),Child,16-64, 6-9 Months,4
31-01-2018,600,Otolaryngology (ENT),Child,16-64, 9-12 Months,14
31-01-2018,600,Otolaryngology (ENT),Child,16-64,12-15 Months,11
31-01-2018,600,Otolaryngology (ENT),Child,16-64,15-18 Months,15
31-01-2018,600,Otolaryngology (ENT),Child,16-64,18+ Months,91
31-01-2018,1100,Haematology,Child, 0-15, 0-3 Months,19
31-01-2018,1100,Haematology,Child, 0-15, 3-6 Months,17
31-01-2018,1100,Haematology,Child, 0-15, 6-9 Months,1
